Time,  SWDOWN,T2,PSFC,  Q2,  o3,  no,  no2,  co,  hcho,  NOx_obs,  SWAug31_obs,  SWAug26_obs,TEMP_obs
0.0,0.0,273.0,100154.78906,0.01529,0.02916,0.0,0.00885,0.13468,0.00081,-999.0,0.0001,0.0001,300.44501
1.0,0.0,273.0,100154.78906,0.01529,0.02627,0.0,0.00959,0.13218,0.00082,-999.0,0.0001,0.0001,300.26624
2.0,0.0,273.0,100154.78906,0.01529,0.02564,0.0,0.00891,0.12969,0.00074,-999.0,0.0001,0.0001,300.24051
3.0,0.0,273.0,100154.78906,0.01529,0.02373,0.0,0.00873,0.12872,0.00067,-999.0,0.0001,0.0001,300.25797
4.0,0.0,273.0,100154.78906,0.01529,0.02639,0.0,0.00737,0.12541,0.00071,-999.0,0.0001,0.02418,299.9198
5.0,0.0,273.0,100154.78906,0.01529,0.02606,0.0,0.00881,0.13137,0.00075,-999.0,0.0001,0.0001,299.72479
6.0,0.0,273.0,100154.78906,0.01925,0.0247,0.0,0.00954,0.13575,0.00076,-999.0,0.0001,0.0001,299.47198
7.0,0.0,273.0,100154.78906,0.01529,0.02256,0.00011,0.00134,0.14333,0.0008,-999.0,1.08163,1.17621,299.32248
8.0,18.39678,273.0,100154.78906,0.01529,0.04079,0.00001000000000000000,0.00173,0.10189,0.00078,-999.0,16.81368,68.56146,299.14105
9.0,527.40555,273.0,100154.78906,0.01529,0.03902,0.00018,0.00147,0.10413,0.00073,-999.0,58.04654,108.33858,295.79416
10.0,696.87463,273.0,100154.78906,0.01529,0.03557,0.00028,0.00196,0.10695,0.00075,0.5605,175.87691,378.65253,296.80106
11.0,755.4472,273.0,100154.78906,0.01529,0.03525,0.00026,0.00173,0.10507,0.001,0.0901,238.30188,509.9982,297.73718
12.0,968.40015,273.0,100154.78906,0.01529,0.03737,0.00026,0.00128,0.10367,0.00124,0.331,154.13,581.03998,297.92599
13.0,803.85687,273.0,100154.78906,0.01529,0.03477,0.00024,0.00233,0.10508,0.00108,0.4745,479.97314,988.44379,299.55478
14.0,829.41083,273.0,100154.78906,0.01529,0.03863,0.00021,0.00143,0.10424,0.00136,0.3565,494.15634,932.229,301.22202
15.0,716.58655,273.0,100154.78906,0.01529,0.04065,0.00014,0.00096,0.10334,0.00141,0.2485,339.04202,845.06793,300.94452
16.0,488.2634,273.0,100154.78906,0.01529,0.04116,0.00012,0.00179,0.10527,0.0013,0.349,397.203,721.27655,301.68002
17.0,446.21171,273.0,100154.78906,0.01529,0.04005,0.00026,0.00193,0.11088,0.00154,0.3245,325.81995,525.96393,302.3631
18.0,306.11285,273.0,100154.78906,0.01529,0.03975,0.00041,0.00251,0.1127,0.00148,0.0906,297.69,279.69,302.68799
19.0,0.0,273.0,100154.78906,0.01529,0.03103,0.00001000000000000000,0.00216,0.10402,0.00068,0.321,65.87434,74.36112,301.55475
20.0,0.0,273.0,100154.78906,0.01529,0.02972,0.0,0.00364,0.1093,0.00105,0.616,0.0001,0.0001,299.81335
21.0,0.0,273.0,100154.78906,0.01529,0.03138,0.0,0.00305,0.10806,0.00123,2.61,0.0001,0.0001,299.50916
22.0,0.0,273.0,100154.78906,0.01529,0.02694,0.0,0.00506,0.1134,0.00122,4.57,0.0001,0.0001,299.08063
23.0,0.0,273.0,100154.78906,0.01529,0.02594,0.0,0.00451,0.11097,0.00135,-999.0,0.0001,0.0001,298.90799
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
